fecha,nombre_n3,USADOS
oct 20,Barrio del Abasto,15460
oct 20,Remedios Escalada de San Martín,15252
oct 20,Luis Agote,14919
oct 20,Centro,15172
oct 20,Nuestra Sra. de Lourdes,16504
oct 20,Alberto Olmedo,16902
nov 20,Alberto Olmedo,17086
nov 20,Nuestra Sra. de Lourdes,17210
nov 20,Remedios Escalada de San Martín,15576
nov 20,Centro,15534
nov 20,Luis Agote,15577
nov 20,Barrio del Abasto,16078
dic 20,Remedios Escalada de San Martín,15978
dic 20,Luis Agote,15730
dic 20,Alberto Olmedo,17148
dic 20,Barrio del Abasto,16704
dic 20,Centro,16003
dic 20,Nuestra Sra. de Lourdes,17836
ene 21,Remedios Escalada de San Martín,16317
ene 21,Luis Agote,15913
ene 21,Barrio del Abasto,17126
ene 21,Nuestra Sra. de Lourdes,18449
ene 21,Alberto Olmedo,17462
ene 21,Centro,16574
feb 21,Barrio del Abasto,17722
feb 21,Luis Agote,16930
feb 21,Nuestra Sra. de Lourdes,19076
feb 21,Centro,17361
feb 21,Remedios Escalada de San Martín,16641
feb 21,Alberto Olmedo,18699
mar. 21,Remedios Escalada de San Martín,17893
mar. 21,Centro,18349
mar. 21,Nuestra Sra. de Lourdes,19290
mar. 21,Luis Agote,17602
mar. 21,Barrio del Abasto,18294
mar. 21,Alberto Olmedo,20351
abr. 21,Nuestra Sra. de Lourdes,19746
abr. 21,Luis Agote,18050
abr. 21,Barrio del Abasto,18873
abr. 21,Alberto Olmedo,21376
abr. 21,Centro,19202
abr. 21,Remedios Escalada de San Martín,19395
may 21,Alberto Olmedo,21750
may 21,Luis Agote,18704
may 21,Centro,20306
may 21,Nuestra Sra. de Lourdes,20867
may 21,Barrio del Abasto,20301
may 21,Remedios Escalada de San Martín,19950
jun 21,Barrio del Abasto,21425
jun 21,Nuestra Sra. de Lourdes,21775
jun 21,Remedios Escalada de San Martín,20378
jun 21,Alberto Olmedo,22093
jun 21,Luis Agote,19267
jun 21,Centro,21268
