fecha,nombre_n3,ESTRENAR
jun 21,Luis Agote,null
jun 21,Centro,24521
jul. 21,Nuestra Sra. de Lourdes,24125
jul. 21,Centro,25170
jul. 21,Barrio del Abasto,null
jul. 21,Luis Agote,null
jul. 21,Remedios Escalada de San Martín,22814
jul. 21,Alberto Olmedo,30066
ago. 21,Nuestra Sra. de Lourdes,26526
ago. 21,Barrio del Abasto,null
ago. 21,Alberto Olmedo,null
ago. 21,Centro,26047
ago. 21,Luis Agote,null
ago. 21,Remedios Escalada de San Martín,24040
sep. 21,Barrio del Abasto,null
sep. 21,Centro,27301
sep. 21,Alberto Olmedo,null
sep. 21,Nuestra Sra. de Lourdes,27267
sep. 21,Luis Agote,23098
sep. 21,Remedios Escalada de San Martín,26342
oct. 21,Nuestra Sra. de Lourdes,28751
oct. 21,Barrio del Abasto,null
oct. 21,Luis Agote,24908
oct. 21,Remedios Escalada de San Martín,28133
oct. 21,Alberto Olmedo,null
oct. 21,Centro,27920
nov. 21,Centro,27969
nov. 21,Nuestra Sra. de Lourdes,33131
nov. 21,Alberto Olmedo,null
nov. 21,Remedios Escalada de San Martín,29091
nov. 21,Luis Agote,24008
nov. 21,Barrio del Abasto,null
dic. 21,Luis Agote,null
dic. 21,Alberto Olmedo,null
dic. 21,Nuestra Sra. de Lourdes,36595
dic. 21,Remedios Escalada de San Martín,31312
dic. 21,Centro,30858
dic. 21,Barrio del Abasto,null
ene. 22,Remedios Escalada de San Martín,35186
ene. 22,Luis Agote,null
ene. 22,Centro,36483
ene. 22,Alberto Olmedo,null
ene. 22,Nuestra Sra. de Lourdes,33998
ene. 22,Barrio del Abasto,null
feb. 22,Barrio del Abasto,null
feb. 22,Nuestra Sra. de Lourdes,null
feb. 22,Centro,43724
feb. 22,Luis Agote,null
feb. 22,Alberto Olmedo,null
feb. 22,Remedios Escalada de San Martín,37905
mar 22,Remedios Escalada de San Martín,38157
mar 22,Nuestra Sra. de Lourdes,null
mar 22,Alberto Olmedo,null
mar 22,Centro,46543
mar 22,Luis Agote,null
mar 22,Barrio del Abasto,null
abr 22,Nuestra Sra. de Lourdes,null
abr 22,Remedios Escalada de San Martín,null
abr 22,Barrio del Abasto,null
abr 22,Luis Agote,null
abr 22,Centro,45021
abr 22,Alberto Olmedo,null
may. 22,Barrio del Abasto,null
may. 22,Alberto Olmedo,54294
may. 22,Centro,47008
may. 22,Luis Agote,null
may. 22,Remedios Escalada de San Martín,null
may. 22,Nuestra Sra. de Lourdes,null
jun. 22,Barrio del Abasto,null
jun. 22,Remedios Escalada de San Martín,null
jun. 22,Alberto Olmedo,64251
jun. 22,Centro,50951
jun. 22,Luis Agote,null
jun. 22,Nuestra Sra. de Lourdes,null
jul 22,Luis Agote,null
jul 22,Nuestra Sra. de Lourdes,null
jul 22,Barrio del Abasto,null
jul 22,Remedios Escalada de San Martín,null
jul 22,Alberto Olmedo,71158
jul 22,Centro,55178
ago. 22,Nuestra Sra. de Lourdes,null
ago. 22,Luis Agote,null
ago. 22,Remedios Escalada de San Martín,null
ago. 22,Alberto Olmedo,67318
ago. 22,Centro,60181
ago. 22,Barrio del Abasto,53226
sep. 22,Alberto Olmedo,null
sep. 22,Nuestra Sra. de Lourdes,63372
sep. 22,Remedios Escalada de San Martín,60378
sep. 22,Centro,62944
sep. 22,Luis Agote,null
sep. 22,Barrio del Abasto,null
oct. 22,Luis Agote,null
oct. 22,Remedios Escalada de San Martín,58262
oct. 22,Centro,64014
oct. 22,Nuestra Sra. de Lourdes,62671
oct. 22,Barrio del Abasto,null
oct. 22,Alberto Olmedo,null
nov. 22,Nuestra Sra. de Lourdes,66179
nov. 22,Remedios Escalada de San Martín,60464
nov. 22,Luis Agote,null
nov. 22,Centro,64066
nov. 22,Barrio del Abasto,null
nov. 22,Alberto Olmedo,null
dic. 22,Nuestra Sra. de Lourdes,69344
dic. 22,Remedios Escalada de San Martín,62681
dic. 22,Luis Agote,null
dic. 22,Centro,65546
dic. 22,Barrio del Abasto,null
dic. 22,Alberto Olmedo,null
ene. 23,Barrio del Abasto,null
ene. 23,Alberto Olmedo,null
ene. 23,Centro,70355
ene. 23,Nuestra Sra. de Lourdes,73485
ene. 23,Luis Agote,null
ene. 23,Remedios Escalada de San Martín,63576
feb. 23,Nuestra Sra. de Lourdes,76795
feb. 23,Luis Agote,null
feb. 23,Centro,75091
feb. 23,Barrio del Abasto,null
feb. 23,Alberto Olmedo,null
feb. 23,Remedios Escalada de San Martín,67704
mar. 23,Alberto Olmedo,null
mar. 23,Centro,81668
mar. 23,Nuestra Sra. de Lourdes,82354
mar. 23,Luis Agote,null
mar. 23,Remedios Escalada de San Martín,75992
mar. 23,Barrio del Abasto,null
abr. 23,Luis Agote,null
abr. 23,Centro,87861
abr. 23,Barrio del Abasto,null
abr. 23,Nuestra Sra. de Lourdes,85605
abr. 23,Alberto Olmedo,null
abr. 23,Remedios Escalada de San Martín,85081
may. 23,Nuestra Sra. de Lourdes,94217
may. 23,Barrio del Abasto,null
may. 23,Alberto Olmedo,null
may. 23,Remedios Escalada de San Martín,89600
may. 23,Luis Agote,null
may. 23,Centro,92152
jun. 23,Remedios Escalada de San Martín,90706
jun. 23,Alberto Olmedo,null
jun. 23,Nuestra Sra. de Lourdes,103474
jun. 23,Centro,96963
jun. 23,Barrio del Abasto,null
jun. 23,Luis Agote,null
jul. 23,Alberto Olmedo,null
jul. 23,Nuestra Sra. de Lourdes,102677
jul. 23,Remedios Escalada de San Martín,99130
jul. 23,Barrio del Abasto,null
jul. 23,Luis Agote,null
jul. 23,Centro,104207
ago. 23,Luis Agote,null
ago. 23,Nuestra Sra. de Lourdes,91874
ago. 23,Barrio del Abasto,null
ago. 23,Remedios Escalada de San Martín,109839
ago. 23,Centro,115582
ago. 23,Alberto Olmedo,null
sep. 23,Centro,132494
sep. 23,Alberto Olmedo,null
sep. 23,Luis Agote,null
sep. 23,Remedios Escalada de San Martín,140591
sep. 23,Barrio del Abasto,null
sep. 23,Nuestra Sra. de Lourdes,110531
oct. 23,Barrio del Abasto,null
oct. 23,Centro,149576
oct. 23,Nuestra Sra. de Lourdes,146066
oct. 23,Luis Agote,null
oct. 23,Alberto Olmedo,null
oct. 23,Remedios Escalada de San Martín,165784
nov. 23,Centro,172623
nov. 23,Nuestra Sra. de Lourdes,182332
nov. 23,Remedios Escalada de San Martín,173142
nov. 23,Luis Agote,null
nov. 23,Barrio del Abasto,null
nov. 23,Alberto Olmedo,null
dic. 23,Centro,210219
dic. 23,Nuestra Sra. de Lourdes,214859
dic. 23,Barrio del Abasto,null
dic. 23,Remedios Escalada de San Martín,210691
dic. 23,Luis Agote,null
dic. 23,Alberto Olmedo,null
ene. 24,Remedios Escalada de San Martín,237329
ene. 24,Alberto Olmedo,null
ene. 24,Centro,233190
ene. 24,Nuestra Sra. de Lourdes,218237
ene. 24,Luis Agote,null
ene. 24,Barrio del Abasto,null
feb. 24,Remedios Escalada de San Martín,241531
feb. 24,Centro,237863
feb. 24,Barrio del Abasto,null
feb. 24,Nuestra Sra. de Lourdes,226195
feb. 24,Luis Agote,null
feb. 24,Alberto Olmedo,null
mar. 24,Remedios Escalada de San Martín,247567
mar. 24,Centro,234174
mar. 24,Alberto Olmedo,239406
mar. 24,Nuestra Sra. de Lourdes,252389
mar. 24,Luis Agote,226899
mar. 24,Barrio del Abasto,238368
abr. 24,Remedios Escalada de San Martín,249284
abr. 24,Centro,234921
abr. 24,Alberto Olmedo,267400
abr. 24,Nuestra Sra. de Lourdes,264924
abr. 24,Luis Agote,234502
abr. 24,Barrio del Abasto,228312
may 24,Alberto Olmedo,278492
may 24,Remedios Escalada de San Martín,252540
may 24,Luis Agote,235905
may 24,Barrio del Abasto,223354
may 24,Centro,251521
may 24,Nuestra Sra. de Lourdes,264584
jun 24,Luis Agote,251087
jun 24,Barrio del Abasto,232361
jun 24,Alberto Olmedo,299096
jun 24,Nuestra Sra. de Lourdes,288428
jun 24,Centro,260791
jun 24,Remedios Escalada de San Martín,248732
jul 24,Luis Agote,262513
jul 24,Barrio del Abasto,228739
jul 24,Alberto Olmedo,323573
jul 24,Nuestra Sra. de Lourdes,303167
jul 24,Centro,269070
jul 24,Remedios Escalada de San Martín,256234
ago 24,Luis Agote,284611
ago 24,Remedios Escalada de San Martín,280333
ago 24,Centro,281234
ago 24,Nuestra Sra. de Lourdes,298415
ago 24,Alberto Olmedo,324898
ago 24,Barrio del Abasto,242777
sep 24,Centro,291415
sep 24,Remedios Escalada de San Martín,293747
sep 24,Alberto Olmedo,328653
sep 24,Nuestra Sra. de Lourdes,295497
sep 24,Luis Agote,295294
sep 24,Barrio del Abasto,294938
oct 24,Centro,304093
oct 24,Remedios Escalada de San Martín,306709
oct 24,Alberto Olmedo,355789
oct 24,Nuestra Sra. de Lourdes,324049
oct 24,Luis Agote,300509
oct 24,Barrio del Abasto,322496
