fecha,nombre_n3,INDEX
ene 20,Nuestra Sra. de Lourdes,12598
ene 20,Alberto Olmedo,12155
ene 20,Remedios Escalada de San Martín,11562
feb 20,Luis Agote,11029
feb 20,Nuestra Sra. de Lourdes,12790
feb 20,Barrio del Abasto,12254
feb 20,Alberto Olmedo,12424
feb 20,Centro,10989
feb 20,Remedios Escalada de San Martín,11684
mar 20,Centro,11386
mar 20,Barrio del Abasto,12512
mar 20,Remedios Escalada de San Martín,11870
mar 20,Nuestra Sra. de Lourdes,13209
mar 20,Alberto Olmedo,12735
mar 20,Luis Agote,11632
abr 20,Remedios Escalada de San Martín,12090
abr 20,Nuestra Sra. de Lourdes,13450
abr 20,Centro,11531
abr 20,Luis Agote,11575
abr 20,Barrio del Abasto,12545
abr 20,Alberto Olmedo,12936
may 20,Alberto Olmedo,13551
may 20,Barrio del Abasto,12529
may 20,Remedios Escalada de San Martín,12209
may 20,Luis Agote,11292
may 20,Centro,11790
may 20,Nuestra Sra. de Lourdes,13398
jun 20,Remedios Escalada de San Martín,12289
jun 20,Alberto Olmedo,14008
jun 20,Centro,12310
jun 20,Nuestra Sra. de Lourdes,13599
jun 20,Luis Agote,11325
jun 20,Barrio del Abasto,12841
jul 20,Remedios Escalada de San Martín,13040
jul 20,Nuestra Sra. de Lourdes,14481
jul 20,Luis Agote,12480
jul 20,Alberto Olmedo,14581
jul 20,Centro,13068
jul 20,Barrio del Abasto,13774
ago 20,Centro,14105
ago 20,Luis Agote,14084
ago 20,Alberto Olmedo,15589
ago 20,Nuestra Sra. de Lourdes,15464
ago 20,Barrio del Abasto,14944
ago 20,Remedios Escalada de San Martín,14595
sep 20,Remedios Escalada de San Martín,15169
sep 20,Luis Agote,14656
sep 20,Centro,14834
sep 20,Alberto Olmedo,16474
sep 20,Barrio del Abasto,15471
sep 20,Nuestra Sra. de Lourdes,15859
oct 20,Barrio del Abasto,15659
oct 20,Remedios Escalada de San Martín,15233
oct 20,Luis Agote,14919
oct 20,Centro,15322
oct 20,Nuestra Sra. de Lourdes,16671
oct 20,Alberto Olmedo,17185
nov 20,Alberto Olmedo,17372
nov 20,Nuestra Sra. de Lourdes,17512
nov 20,Remedios Escalada de San Martín,15754
nov 20,Centro,15687
nov 20,Luis Agote,15575
nov 20,Barrio del Abasto,16104
dic 20,Remedios Escalada de San Martín,16354
dic 20,Luis Agote,15676
dic 20,Alberto Olmedo,17296
dic 20,Barrio del Abasto,16903
dic 20,Centro,16133
dic 20,Nuestra Sra. de Lourdes,18043
ene 21,Remedios Escalada de San Martín,16741
ene 21,Luis Agote,15809
ene 21,Barrio del Abasto,17304
ene 21,Nuestra Sra. de Lourdes,18954
ene 21,Alberto Olmedo,17611
ene 21,Centro,16634
feb 21,Barrio del Abasto,17789
feb 21,Luis Agote,16905
feb 21,Nuestra Sra. de Lourdes,19672
feb 21,Centro,17376
feb 21,Remedios Escalada de San Martín,17373
feb 21,Alberto Olmedo,18810
mar. 21,Remedios Escalada de San Martín,18662
mar. 21,Centro,18429
mar. 21,Nuestra Sra. de Lourdes,19700
mar. 21,Luis Agote,17628
mar. 21,Barrio del Abasto,18475
mar. 21,Alberto Olmedo,20399
abr. 21,Nuestra Sra. de Lourdes,20158
abr. 21,Luis Agote,18099
abr. 21,Barrio del Abasto,19085
abr. 21,Alberto Olmedo,21465
abr. 21,Centro,19336
abr. 21,Remedios Escalada de San Martín,19865
may 21,Alberto Olmedo,22045
may 21,Luis Agote,18810
may 21,Centro,20479
may 21,Nuestra Sra. de Lourdes,21168
may 21,Barrio del Abasto,20589
may 21,Remedios Escalada de San Martín,20557
jun 21,Barrio del Abasto,21778
jun 21,Nuestra Sra. de Lourdes,21945
